GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-653656736,SushiGo,3,GAME_OVER,62,0,2,33,BasicMCTS,50.0,50.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-400394132,SushiGo,3,GAME_OVER,61,0,2,34,BasicMCTS,50.0,40.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1422203009,SushiGo,3,GAME_OVER,60,0,2,35,BasicMCTS,60.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1113178468,SushiGo,3,GAME_OVER,62,0,2,36,BasicMCTS,54.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-175367348,SushiGo,3,GAME_OVER,60,0,2,37,BasicMCTS,69.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1362911089,SushiGo,3,GAME_OVER,61,0,2,38,BasicMCTS,53.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-347120262,SushiGo,3,GAME_OVER,60,0,2,39,BasicMCTS,55.0,48.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1416514647,SushiGo,3,GAME_OVER,62,0,2,40,BasicMCTS,67.0,46.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1570736736,SushiGo,3,GAME_OVER,61,0,2,41,BasicMCTS,66.0,49.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1532681659,SushiGo,3,GAME_OVER,60,0,2,42,BasicMCTS,78.0,50.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
